,Unnamed: 0,date,stock,score1,score2,pred_rate,name
151,681,600872,2024-01-16,401.69626,401.8401,0.0,中炬高新
152,3135,300419,2024-01-16,56.638565,56.658806,0.0,浩丰科技
153,1197,603569,2024-01-16,21.64112,21.648848,0.0,长久物流
154,1305,603779,2024-01-16,16.089966,16.095646,0.0,ST威龙
155,1209,603595,2024-01-16,77.13704,77.16414,0.0,东尼电子
156,1820,965,2024-01-16,9.79314,9.79657,0.0,天保基建
157,2531,2725,2024-01-16,31.243372,31.254286,0.0,跃岭股份
158,1042,603166,2024-01-16,10.758879,10.762637,0.0,福达股份
159,2161,2324,2024-01-16,105.12154,105.15819,0.0,普利特
160,446,600592,2024-01-16,28.166058,28.175873,0.0,龙溪股份
161,2364,2544,2024-01-16,133.73438,133.78091,0.0,杰赛科技
162,2192,2355,2024-01-16,12.663437,12.667824,0.0,兴民智通
163,294,600383,2024-01-16,85.01182,85.04127,0.0,金地集团
164,1455,45,2024-01-16,24.039192,24.047516,0.0,深纺织Ａ
165,70,600100,2024-01-16,122.39902,122.4412,0.0,同方股份
166,127,600172,2024-01-16,26.067513,26.076445,0.0,黄河旋风
167,3112,300396,2024-01-16,151.5607,151.61238,0.0,迪瑞医疗
168,74,600105,2024-01-16,52.66443,52.68236,0.0,永鼎股份
169,3049,300324,2024-01-16,90.20313,90.23377,0.0,旋极信息
170,2124,2287,2024-01-16,36.054703,36.066925,0.0,奇正藏药
171,481,600633,2024-01-16,72.77093,72.79552,0.0,浙数文化
172,3026,300299,2024-01-16,54.086987,54.10522,0.0,富春股份
173,2223,2388,2024-01-16,24.580183,24.588448,0.0,新亚制程
174,2082,2243,2024-01-16,14.37197,14.37678,0.0,通产丽星
175,1769,893,2024-01-16,54.159184,54.177288,0.0,东凌国际
176,981,603042,2024-01-16,16.089151,16.094528,0.0,华脉科技
177,2774,300026,2024-01-16,217.24536,217.31792,0.0,红日药业
178,575,600745,2024-01-16,127.064735,127.10694,0.0,闻泰科技
179,2606,2813,2024-01-16,37.35264,37.365044,0.0,路畅科技
180,1378,603917,2024-01-16,27.19045,27.199306,0.0,合力科技
181,1609,631,2024-01-16,42.51189,42.52564,0.0,顺发恒业
182,1410,603986,2024-01-16,526.3869,526.557,0.0,兆易创新
183,2657,2869,2024-01-16,38.043255,38.05553,0.0,金溢科技
184,3078,300357,2024-01-16,156.62665,156.67712,0.0,我武生物
185,2118,2281,2024-01-16,93.97938,94.00959,0.0,光迅科技
186,672,600862,2024-01-16,143.8954,143.94148,0.0,中航高科
187,1519,505,2024-01-16,22.404997,22.412155,0.0,京粮控股
188,808,601198,2024-01-16,10.008076,10.011266,0.0,东兴证券
189,2842,300102,2024-01-16,41.003166,41.016216,0.0,乾照光电
190,22,600029,2024-01-16,10.004966,10.00815,0.0,南方航空
191,33,600052,2024-01-16,16.892641,16.897972,0.0,浙江广厦
192,2369,2549,2024-01-16,85.60472,85.63166,0.0,凯美特气
193,748,600996,2024-01-16,10.495331,10.4986315,0.0,贵广网络
194,2795,300050,2024-01-16,43.665005,43.678734,0.0,世纪鼎利
195,141,600189,2024-01-16,19.3685,19.374588,0.0,吉林森工
196,2792,300047,2024-01-16,48.00893,48.023964,0.0,天源迪科
197,2218,2383,2024-01-16,37.31064,37.32231,0.0,合众思壮
