stock,date,score1,score2
'600354,2024-01-26,13.114774,13.439936
'600355,2024-01-26,17.809534,18.835697
'600356,2024-01-26,12.444123,12.54745
'600358,2024-01-26,13.114538,13.876814
'600359,2024-01-26,7.327215,7.38849
'600360,2024-01-26,42.9987,43.77825
'600361,2024-01-26,21.729986,21.654383
'600362,2024-01-26,22.786478,22.880114
'600363,2024-01-26,73.302086,73.310974
'600366,2024-01-26,63.319412,63.664673
'600367,2024-01-26,38.70289,38.77152
'600368,2024-01-26,11.605508,11.748865
'600369,2024-01-26,20.320507,20.601152
'600370,2024-01-26,14.323128,14.478069
'600371,2024-01-26,36.79172,36.965992
'600372,2024-01-26,27.721876,27.86519
'600373,2024-01-26,45.299656,47.38363
'600375,2024-01-26,17.481806,17.897
'600376,2024-01-26,31.685148,32.03565
'600377,2024-01-26,17.721882,17.932383
'600378,2024-01-26,102.52839,104.03328
'600379,2024-01-26,26.628126,26.408651
'600380,2024-01-26,93.2568,95.11906
'600381,2024-01-26,62.38877,62.68704
'600382,2024-01-26,21.540173,21.564949
'600383,2024-01-26,79.12647,80.863525
'600386,2024-01-26,17.961218,18.380026
'600387,2024-01-26,13.684211,13.699559
'600388,2024-01-26,74.836945,75.6679
'600389,2024-01-26,62.66203,63.33015
'600390,2024-01-26,20.614079,20.94611
'600391,2024-01-26,33.896454,34.604042
'600392,2024-01-26,71.93987,72.279205
'600395,2024-01-26,28.568415,28.785961
'600396,2024-01-26,13.016228,12.970904
'600397,2024-01-26,12.666769,12.874001
'600398,2024-01-26,60.30241,60.32873
'600399,2024-01-26,22.61767,23.167694
'600400,2024-01-26,27.12836,27.395174
'600403,2024-01-26,19.88625,20.246408
'600405,2024-01-26,26.700308,27.496473
'600406,2024-01-26,794.57587,800.8925
'600408,2024-01-26,7.9774146,8.330517
'600409,2024-01-26,28.326845,28.256596
'600410,2024-01-26,62.502728,65.45855
'600415,2024-01-26,251.34831,258.53397
'600416,2024-01-26,36.969303,36.992996
'600418,2024-01-26,76.622955,79.01981
'600419,2024-01-26,28.628887,28.740206
'600420,2024-01-26,69.28211,70.866394
'600421,2024-01-26,19.721941,20.616842
'600422,2024-01-26,143.61417,146.62747
'600423,2024-01-26,9.408849,9.483319
'600425,2024-01-26,16.149378,16.139603
'600426,2024-01-26,217.9321,220.29755
'600428,2024-01-26,25.137081,25.271605
'600429,2024-01-26,4.647231,4.650417
'600433,2024-01-26,17.674376,18.008583
'600435,2024-01-26,111.090416,112.31803
'600436,2024-01-26,1018.5127,1031.0897
'600438,2024-01-26,233.11252,235.78175
'600439,2024-01-26,32.856823,33.059143
'600444,2024-01-26,22.967094,24.630379
'600446,2024-01-26,128.93083,135.7943
'600448,2024-01-26,7.2709804,7.1688304
'600449,2024-01-26,62.148464,62.38392
'600452,2024-01-26,71.63274,74.19264
'600455,2024-01-26,27.39179,28.087067
'600456,2024-01-26,62.942223,63.774704
'600458,2024-01-26,54.148228,54.372616
'600459,2024-01-26,93.408424,94.47173
'600460,2024-01-26,229.43497,231.7678
'600461,2024-01-26,31.578005,31.758175
'600462,2024-01-26,11.127396,11.443788
'600463,2024-01-26,19.086275,19.558903
'600467,2024-01-26,22.016253,22.173685
'600468,2024-01-26,52.748123,53.204338
'600469,2024-01-26,11.736423,11.695637
'600470,2024-01-26,10.459433,10.465619
'600475,2024-01-26,34.697468,35.01962
'600476,2024-01-26,24.831436,26.390581
'600477,2024-01-26,79.107346,78.66678
'600478,2024-01-26,35.10941,34.87453
'600479,2024-01-26,119.00484,120.991554
'600480,2024-01-26,20.268726,20.09875
'600481,2024-01-26,50.37002,49.788116
'600482,2024-01-26,36.706726,36.589928
'600483,2024-01-26,24.371191,24.542774
'600486,2024-01-26,197.74513,200.86937
'600487,2024-01-26,78.011986,78.796234
'600488,2024-01-26,24.344177,24.962488
'600489,2024-01-26,91.017166,93.4339
'600490,2024-01-26,39.956596,40.37243
'600491,2024-01-26,34.26,35.513107
'600493,2024-01-26,15.460239,15.211726
'600495,2024-01-26,22.798672,22.963991
'600496,2024-01-26,24.985905,24.994028
'600497,2024-01-26,84.395966,84.3761
'600498,2024-01-26,37.38689,38.596004
'600499,2024-01-26,222.54466,225.30742
'600500,2024-01-26,34.87736,35.13536
'600501,2024-01-26,49.07344,50.044476
'600502,2024-01-26,50.06254,50.205738
'600503,2024-01-26,8.394597,8.481631
'600505,2024-01-26,26.274122,26.174952
'600506,2024-01-26,13.901684,14.390907
'600507,2024-01-26,77.858536,78.22209
'600508,2024-01-26,33.114857,33.39765
'600509,2024-01-26,24.4482,25.723728
'600510,2024-01-26,26.5365,26.511003
'600511,2024-01-26,157.24112,158.63194
'600512,2024-01-26,12.525226,12.54954
'600513,2024-01-26,50.472496,52.439503
'600515,2024-01-26,12.063278,12.329633
'600516,2024-01-26,74.22026,75.56205
'600517,2024-01-26,83.95591,84.06976
'600518,2024-01-26,81.049446,82.67599
'600519,2024-01-26,9291.049,9298.523
'600520,2024-01-26,43.232044,46.422295
'600521,2024-01-26,239.59616,246.54672
'600522,2024-01-26,74.911285,76.92417
'600523,2024-01-26,20.851437,21.442928
'600525,2024-01-26,53.09111,53.31435
'600526,2024-01-26,15.211307,15.235888
'600527,2024-01-26,41.17128,41.202682
'600528,2024-01-26,23.194563,23.206625
'600529,2024-01-26,149.79933,147.87619
'600530,2024-01-26,12.932129,12.880162
'600531,2024-01-26,43.248573,43.330463
'600533,2024-01-26,23.589312,23.83585
'600535,2024-01-26,138.88614,141.07146
'600536,2024-01-26,196.2152,210.18065
'600537,2024-01-26,16.45159,16.091515
'600538,2024-01-26,12.046646,11.95481
'600539,2024-01-26,7.1721473,7.2388916
'600540,2024-01-26,10.933363,11.233061
'600543,2024-01-26,10.919793,10.846154
'600545,2024-01-26,9.546742,9.6181135
'600546,2024-01-26,120.9804,123.145355
'600547,2024-01-26,364.2624,367.94153
'600548,2024-01-26,14.974897,15.09385
'600549,2024-01-26,171.26154,170.17867
'600551,2024-01-26,30.792847,32.477436
'600552,2024-01-26,73.43382,74.507
'600556,2024-01-26,24.512566,25.586096
'600557,2024-01-26,125.809425,130.55367
'600558,2024-01-26,20.74844,20.730654
'600559,2024-01-26,102.72767,103.48093
'600560,2024-01-26,44.154198,45.648167
'600561,2024-01-26,18.853157,19.284685
'600562,2024-01-26,66.20201,66.96897
'600563,2024-01-26,152.28407,156.70854
'600565,2024-01-26,18.184015,18.374403
'600566,2024-01-26,51.28255,51.2078
'600567,2024-01-26,6.8010726,6.858774
'600568,2024-01-26,21.65125,22.038801
'600569,2024-01-26,4.884524,4.95004
'600570,2024-01-26,762.9633,784.5511
'600571,2024-01-26,92.133934,105.6546
'600572,2024-01-26,55.521214,57.583916
'600573,2024-01-26,11.311206,11.309153
'600575,2024-01-26,31.687927,31.843786
'600576,2024-01-26,22.472322,22.926085
'600577,2024-01-26,75.68547,75.26174
'600578,2024-01-26,12.381951,12.467016
'600579,2024-01-26,12.598228,13.82817
'600580,2024-01-26,56.476414,57.117596
'600581,2024-01-26,15.844723,16.053867
'600582,2024-01-26,214.69992,216.6522
'600583,2024-01-26,98.58924,99.828896
'600584,2024-01-26,99.91123,101.14155
'600585,2024-01-26,108.13471,108.11897
'600586,2024-01-26,66.386536,65.5845
'600587,2024-01-26,112.98632,114.61634
'600588,2024-01-26,496.30417,523.01556
'600589,2024-01-26,12.953269,13.505167
'600590,2024-01-26,26.879898,27.225431
'600592,2024-01-26,27.146118,27.059052
'600593,2024-01-26,30.584618,33.35317
'600594,2024-01-26,71.27603,72.84583
'600595,2024-01-26,14.796232,14.824467
