,公司代码 ,Name,code,上市日期
96,600637,  东方明珠,'600637,  1993-03-16
97,2721,金一文化,'002721,2014/1/27
98,2913,奥士康,'002913,2017/12/1
99,937,冀中能源,'000937,1999/9/9
100,603103,  横店影视,'603103,  2017-10-12
101,586,汇源通信,'000586,1995/12/20
102,601968,  宝钢包装,'601968,  2015-06-11
103,632,三木集团,'000632,1996/11/21
104,600781,  ST辅仁,'600781,  1996-12-18
105,300437,清水源,'300437,2015/4/23
106,2349,精华制药,'002349,2010/2/3
107,300288,朗玛信息,'300288,2012/2/16
108,300536,农尚环境,'300536,2016/9/20
109,300713,英可瑞,'300713,2017/11/1
110,603321,  梅轮电梯,'603321,  2017-09-15
111,2526,山东矿机,'002526,2010/12/17
112,2427,*ST尤夫,'002427,2010/6/8
113,2861,瀛通通讯,'002861,2017/4/13
114,300423,鲁亿通,'300423,2015/2/17
115,600346,  恒力石化,'600346,  2001-08-20
116,300172,中电环保,'300172,2011/2/1
117,300336,新文化,'300336,2012/7/10
118,300625,三雄极光,'300625,2017/3/17
119,601958,  金钼股份,'601958,  2008-04-17
120,300342,天银机电,'300342,2012/7/26
121,300665,飞鹿股份,'300665,2017/6/13
122,300230,永利股份,'300230,2011/6/15
123,300664,鹏鹞环保,'300664,2018/1/5
124,601608,  中信重工,'601608,  2012-07-06
125,603116,  红蜻蜓,'603116,  2015-06-29
126,2356,*ST赫美,'002356,2010/2/9
127,2340,格林美,'002340,2010/1/22
128,603636,  南威软件,'603636,  2014-12-30
129,300166,东方国信,'300166,2011/1/25
130,300441,鲍斯股份,'300441,2015/4/23
131,600995,  文山电力,'600995,  2004-06-15
132,600638,  新黄浦,'600638,  1993-03-26
133,953,*ST河化,'000953,1999/12/2
134,2094,青岛金王,'002094,2006/12/15
135,300538,同益股份,'300538,2016/8/26
136,2085,万丰奥威,'002085,2006/11/28
137,600113,  浙江东日,'600113,  1997-10-21
138,600978,  宜华生活,'600978,  2004-08-24
139,300348,长亮科技,'300348,2012/8/17
140,300217,东方电热,'300217,2011/5/18
141,300722,新余国科,'300722,2017/11/10
142,600711,  盛屯矿业,'600711,  1996-05-31
143,600640,  号百控股,'600640,  1993-04-07
144,603686,  龙马环卫,'603686,  2015-01-26
145,2845,同兴达,'002845,2017/1/25
146,300616,尚品宅配,'300616,2017/3/7
147,300552,万集科技,'300552,2016/10/21
148,300153,科泰电源,'300153,2010/12/29
149,2087,新野纺织,'002087,2006/11/30
150,796,凯撒旅业,'000796,1997/7/3
151,600111,  北方稀土,'600111,  1997-09-24
152,2168,惠程科技,'002168,2007/9/19
153,2451,摩恩电气,'002451,2010/7/20
154,2881,美格智能,'002881,2017/6/22
155,300485,赛升药业,'300485,2015/6/26
156,603283,  赛腾股份,'603283,  2017-12-25
157,300505,川金诺,'300505,2016/3/15
158,2225,濮耐股份,'002225,2008/4/25
159,603606,  东方电缆,'603606,  2014-10-15
160,868,*ST安凯,'000868,1997/7/25
161,600498,  烽火通信,'600498,  2001-08-23
162,603555,  贵人鸟,'603555,  2014-01-24
163,2438,江苏神通,'002438,2010/6/23
164,300707,威唐工业,'300707,2017/10/10
165,2221,东华能源,'002221,2008/3/6
